0,h,0,0,0,0.000000e+00,0.000000e+00
1,h,0,1,0,7.492000e-06,inf,inf
2,h,0,6,9,2.160000e-06,6.666667e-01,2.400000e-07
3,h,0,20,35,1.972000e-06,5.714286e-01,5.634286e-08
4,h,0,54,90,3.847000e-06,6.000000e-01,4.274444e-08
5,h,0,132,248,8.084000e-06,5.322581e-01,3.259677e-08
6,h,0,306,567,1.639500e-05,5.396825e-01,2.891534e-08
7,h,0,688,1397,3.293800e-05,4.924839e-01,2.357767e-08
8,h,0,1518,3060,6.724700e-05,4.960784e-01,2.197614e-08
9,h,0,3308,6643,1.360760e-04,4.979678e-01,2.048412e-08
10,h,0,7146,15345,2.816850e-04,4.656891e-01,1.835679e-08
11,h,0,15336,32752,5.784350e-04,4.682462e-01,1.766106e-08
12,h,0,32742,73710,1.222755e-03,4.442002e-01,1.658873e-08
13,h,0,69604,155629,3.306370e-03,4.472431e-01,2.124520e-08
14,h,0,147426,344043,5.560311e-03,4.285104e-01,1.616167e-08
15,h,0,311264,720874,1.457214e-02,4.317870e-01,2.021455e-08
16,h,0,655326,1572840,2.610423e-02,4.166514e-01,1.659688e-08
17,h,0,1376220,3276775,4.348822e-02,4.199922e-01,1.327165e-08
18,h,0,2883546,6815718,1.106651e-01,4.230730e-01,1.623674e-08
19,h,0,6029272,14680036,2.251906e-01,4.107123e-01,1.533992e-08
20,h,0,12582870,30408675,3.720617e-01,4.137921e-01,1.223538e-08
21,h,0,26214356,65011681,7.575782e-01,4.032253e-01,1.165295e-08
22,h,0,54525906,134217696,1.889318e+00,4.062498e-01,1.407652e-08
23,h,0,113246160,285212638,3.869999e+00,3.970587e-01,1.356882e-08
24,h,0,234880974,587202525,6.595623e+00,3.999999e-01,1.123228e-08
25,h,0,486539212,1241513947,1.637119e+01,3.918919e-01,1.318648e-08
26,h,0,1006632906,2550136794,3.376736e+01,3.947368e-01,1.324139e-08
