0,h,0,0,0,0.000000e+00,0.000000e+00
1,h,0,1,0,8.813000e-06,inf,inf
2,h,0,6,9,2.641000e-06,6.666667e-01,2.934444e-07
3,h,0,20,35,2.350000e-06,5.714286e-01,6.714286e-08
4,h,0,54,90,4.729000e-06,6.000000e-01,5.254444e-08
5,h,0,132,248,9.652000e-06,5.322581e-01,3.891935e-08
6,h,0,306,567,1.969100e-05,5.396825e-01,3.472840e-08
7,h,0,688,1397,3.942300e-05,4.924839e-01,2.821976e-08
8,h,0,1518,3060,8.020900e-05,4.960784e-01,2.621209e-08
9,h,0,3308,6643,1.652020e-04,4.979678e-01,2.486858e-08
10,h,0,7146,15345,3.389240e-04,4.656891e-01,2.208693e-08
11,h,0,15336,32752,7.024250e-04,4.682462e-01,2.144678e-08
12,h,0,32742,73710,1.466914e-03,4.442002e-01,1.990115e-08
13,h,0,69604,155629,3.990764e-03,4.472431e-01,2.564280e-08
14,h,0,147426,344043,5.045974e-03,4.285104e-01,1.466670e-08
15,h,0,311264,720874,1.421570e-02,4.317870e-01,1.972009e-08
16,h,0,655326,1572840,2.600893e-02,4.166514e-01,1.653628e-08
17,h,0,1376220,3276775,4.368058e-02,4.199922e-01,1.333036e-08
18,h,0,2883546,6815718,1.107076e-01,4.230730e-01,1.624299e-08
19,h,0,6029272,14680036,2.250022e-01,4.107123e-01,1.532709e-08
20,h,0,12582870,30408675,3.716563e-01,4.137921e-01,1.222205e-08
21,h,0,26214356,65011681,7.576691e-01,4.032253e-01,1.165435e-08
22,h,0,54525906,134217696,1.876085e+00,4.062498e-01,1.397793e-08
23,h,0,113246160,285212638,3.817766e+00,3.970587e-01,1.338568e-08
24,h,0,234880974,587202525,6.472513e+00,3.999999e-01,1.102262e-08
25,h,0,486539212,1241513947,1.587859e+01,3.918919e-01,1.278970e-08
26,h,0,1006632906,2550136794,3.254614e+01,3.947368e-01,1.276251e-08
