0,k,2,0,0,0.000000e+00,0.000000e+00
1,k,2,0,2,3.230000e-07,0.000000e+00,1.615000e-07
2,k,2,0,8,2.980000e-07,0.000000e+00,3.725000e-08
3,k,2,4,24,3.920000e-07,1.666667e-01,1.633333e-08
4,k,2,20,64,5.830000e-07,3.125000e-01,9.109375e-09
5,k,2,68,160,1.040000e-06,4.250000e-01,6.500000e-09
6,k,2,196,384,2.224000e-06,5.104167e-01,5.791667e-09
7,k,2,516,896,5.122000e-06,5.758929e-01,5.716518e-09
8,k,2,1284,2048,1.181300e-05,6.269531e-01,5.768066e-09
9,k,2,3076,4608,2.725800e-05,6.675347e-01,5.915365e-09
10,k,2,7172,10240,7.091500e-05,7.003906e-01,6.925293e-09
11,k,2,16388,22528,1.714020e-04,7.274503e-01,7.608398e-09
12,k,2,36868,49152,3.822890e-04,7.500814e-01,7.777690e-09
13,k,2,81924,106496,8.111060e-04,7.692683e-01,7.616305e-09
14,k,2,180228,229376,2.040059e-03,7.857317e-01,8.893951e-09
15,k,2,393220,491520,3.891691e-03,8.000081e-01,7.917666e-09
16,k,2,851972,1048576,1.221805e-02,8.125038e-01,1.165204e-08
17,k,2,1835012,2228224,2.630248e-02,8.235312e-01,1.180423e-08
18,k,2,3932164,4718592,5.687282e-02,8.333342e-01,1.205292e-08
19,k,2,8388612,9961472,1.219270e-01,8.421057e-01,1.223986e-08
20,k,2,17825796,20971520,2.608787e-01,8.500002e-01,1.243967e-08
21,k,2,37748740,44040192,5.537115e-01,8.571429e-01,1.257287e-08
22,k,2,79691780,92274688,1.170315e+00,8.636364e-01,1.268294e-08
23,k,2,167772164,192937984,2.465161e+00,8.695652e-01,1.277696e-08
24,k,2,352321540,402653184,5.242379e+00,8.750000e-01,1.301959e-08
25,k,2,738197508,838860800,1.109330e+01,8.800000e-01,1.322424e-08
26,k,2,1543503876,1744830464,2.347819e+01,8.846154e-01,1.345586e-08
