0,h,0,0,0,0.000000e+00,0.000000e+00
1,h,0,1,0,1.292100e-05,inf,inf
2,h,0,6,9,3.891000e-06,6.666667e-01,4.323333e-07
3,h,0,22,35,3.848000e-06,6.285714e-01,1.099429e-07
4,h,0,66,90,7.785000e-06,7.333333e-01,8.650000e-08
5,h,0,179,248,1.658100e-05,7.217742e-01,6.685887e-08
6,h,0,452,567,3.578900e-05,7.971781e-01,6.311993e-08
7,h,0,1098,1397,7.562200e-05,7.859699e-01,5.413171e-08
8,h,0,2553,3060,1.620070e-04,8.343137e-01,5.294346e-08
9,h,0,5856,6643,3.423310e-04,8.815294e-01,5.153259e-08
10,h,0,13309,15345,7.277750e-04,8.673183e-01,4.742750e-08
11,h,0,29478,32752,1.572377e-03,9.000366e-01,4.800858e-08
12,h,0,65079,73710,3.446972e-03,8.829060e-01,4.676397e-08
13,h,0,142238,155629,4.116983e-03,9.139556e-01,2.645383e-08
14,h,0,308670,344043,8.671878e-03,8.971844e-01,2.520580e-08
15,h,0,665838,720874,1.925101e-02,9.236538e-01,2.670509e-08
16,h,0,1428655,1572840,4.349470e-02,9.083282e-01,2.765361e-08
17,h,0,3052983,3276775,1.031438e-01,9.317036e-01,3.147722e-08
18,h,0,6496777,6815718,2.394178e-01,9.532051e-01,3.512730e-08
19,h,0,13773357,14680036,5.529448e-01,9.382373e-01,3.766645e-08
20,h,0,29106468,30408675,1.259861e+00,9.571765e-01,4.143096e-08
21,h,0,61336426,65011681,2.811863e+00,9.434678e-01,4.325166e-08
22,h,0,128942373,134217696,6.383370e+00,9.606958e-01,4.755982e-08
23,h,0,270416815,285212638,1.443436e+01,9.481235e-01,5.060912e-08
24,h,0,565914138,587202525,3.392951e+01,9.637461e-01,5.778161e-08
25,h,0,1182028734,1241513947,7.632800e+01,9.520866e-01,6.147977e-08
26,h,0,2464437391,2550136794,1.747489e+02,9.663942e-01,6.852532e-08
