0,k,2,0,0,0.000000e+00,0.000000e+00
1,k,2,0,2,3.890000e-07,0.000000e+00,1.945000e-07
2,k,2,1,8,3.110000e-07,1.250000e-01,3.887500e-08
3,k,2,4,24,4.010000e-07,1.666667e-01,1.670833e-08
4,k,2,21,64,6.640000e-07,3.281250e-01,1.037500e-08
5,k,2,74,160,1.258000e-06,4.625000e-01,7.862500e-09
6,k,2,215,384,2.746000e-06,5.598958e-01,7.151042e-09
7,k,2,561,896,5.921000e-06,6.261161e-01,6.608259e-09
8,k,2,1367,2048,1.447500e-05,6.674805e-01,7.067871e-09
9,k,2,3273,4608,3.258600e-05,7.102865e-01,7.071615e-09
10,k,2,7566,10240,8.926700e-05,7.388672e-01,8.717480e-09
11,k,2,17160,22528,1.936480e-04,7.617188e-01,8.595881e-09
12,k,2,38412,49152,4.166390e-04,7.814941e-01,8.476542e-09
13,k,2,84857,106496,9.351080e-04,7.968093e-01,8.780687e-09
14,k,2,186280,229376,2.290023e-03,8.121164e-01,9.983708e-09
15,k,2,405171,491520,4.997957e-03,8.243225e-01,1.016837e-08
16,k,2,876106,1048576,1.541072e-02,8.355198e-01,1.469681e-08
17,k,2,1882756,2228224,3.566309e-02,8.449581e-01,1.600517e-08
18,k,2,4027792,4718592,8.275089e-02,8.536004e-01,1.753720e-08
19,k,2,8580335,9961472,2.027191e-01,8.613521e-01,2.035031e-08
20,k,2,18208627,20971520,4.236120e-01,8.682550e-01,2.019939e-08
21,k,2,38515427,44040192,1.078992e+00,8.745518e-01,2.450016e-08
22,k,2,81223736,92274688,2.628754e+00,8.802385e-01,2.848836e-08
23,k,2,170839214,192937984,6.970182e+00,8.854618e-01,3.612654e-08
24,k,2,358450897,402653184,1.736472e+01,8.902224e-01,4.312575e-08
25,k,2,750458513,838860800,4.226748e+01,8.946163e-01,5.038676e-08
26,k,2,1568034310,1744830464,9.918259e+01,8.986743e-01,5.684368e-08
