2 2 3.18e-08 8.82e-08
8 24 4.29e-09 2.86e-07
16 62 4.24e-09 9.17e-07
32 150 4.23e-09 2.67e-06
64 331 3.93e-09 6.45e-06
128 749 3.76e-09 1.60e-05
256 1679 3.01e-09 3.23e-05
512 3709 2.70e-09 7.11e-05
1024 8128 2.55e-09 1.62e-04
2048 17670 2.47e-09 3.71e-04
4096 38174 2.21e-09 7.76e-04
8192 82021 2.41e-09 1.96e-03
16384 175398 2.86e-09 5.32e-03
32768 373480 2.46e-09 1.04e-02
65536 792368 2.44e-09 2.32e-02
131072 1675587 2.51e-09 5.35e-02
262144 3532864 2.97e-09 1.41e-01
524288 7429088 3.30e-09 3.46e-01
1048576 15584965 3.48e-09 8.03e-01
