2 2 2.01e-08 5.56e-08
8 24 3.91e-09 2.60e-07
16 62 4.12e-09 8.92e-07
32 150 4.28e-09 2.70e-06
64 331 3.64e-09 5.98e-06
128 749 3.30e-09 1.40e-05
256 1679 2.95e-09 3.17e-05
512 3709 3.45e-09 9.08e-05
1024 8128 2.46e-09 1.56e-04
2048 17670 2.42e-09 3.64e-04
4096 38174 2.44e-09 8.59e-04
8192 82021 2.34e-09 1.90e-03
16384 175398 2.45e-09 4.57e-03
32768 373480 2.76e-09 1.17e-02
65536 792368 2.41e-09 2.29e-02
131072 1675587 2.37e-09 5.05e-02
262144 3532864 3.46e-09 1.64e-01
524288 7429088 3.59e-09 3.76e-01
1048576 15584965 3.17e-09 7.30e-01
