h k l n m i d u x y z e t r
k 2 16 65536 2 1 1 0 0.000015 0.500000 0.000000 16.031250 1.797200e-07 2.472622e-13
k 2 16 65536 4 1 1 0 0.000015 0.250000 0.000000 16.031250 2.315600e-07 3.185750e-13
k 2 16 65536 8 1 1 0 0.000015 0.125000 0.000000 16.031250 1.599200e-07 2.200009e-13
k 2 16 65536 16 1 1 0 0.000015 0.062500 0.000000 16.031250 2.144000e-07 2.949126e-13
k 2 16 65536 32 1 1 0 0.000015 0.031250 0.000000 16.031250 2.154200e-07 2.962434e-13
k 2 16 65536 64 1 1 0 0.000015 0.015625 0.000000 16.035156 1.518000e-07 2.086520e-13
k 2 16 65536 128 1 1 0 0.000015 0.007812 0.000000 16.039062 2.376600e-07 3.263498e-13
k 2 16 65536 256 1 1 0 0.000015 0.003906 0.000000 16.046875 1.720200e-07 2.357547e-13
k 2 16 65536 512 1 1 0 0.000015 0.001953 0.000000 16.062500 2.067800e-07 2.822951e-13
k 2 16 65536 1024 1 1 0 0.000015 0.000977 0.000000 16.093750 2.049000e-07 2.775768e-13
k 2 16 65536 2048 1 1 0 0.000015 0.000488 0.000000 16.152344 1.601800e-07 2.137071e-13
k 2 16 65536 4096 1 1 0 0.000015 0.000244 0.000000 16.277344 1.318600e-07 1.707492e-13
k 2 16 65536 8192 1 1 0 0.000015 0.000122 0.000000 16.523438 1.760400e-07 2.152948e-13
k 2 16 65536 16384 1 1 0 0.000015 0.000061 0.000000 17.003906 1.629600e-07 1.793683e-13
k 2 16 65536 32768 2 2 0 0.000031 0.000061 0.000000 17.937500 2.658600e-07 2.438576e-13
k 2 16 65536 65536 86 86 0 0.001312 0.001312 0.000000 19.730469 1.229730e-05 8.459689e-12
k 2 16 65536 131072 43832 43832 2924 0.668823 0.334412 0.022308 23.214844 1.277249e-02 5.857725e-09
k 2 16 65536 262144 61655 61655 19981 0.940781 0.235195 0.076221 30.097656 2.532055e-02 6.967512e-09
k 2 16 65536 524288 65516 65516 52725 0.999695 0.124962 0.100565 44.320312 3.677553e-02 5.622002e-09
k 2 16 65536 1048576 65536 65536 92973 1.000000 0.062500 0.088666 73.222656 4.295495e-02 3.476473e-09
k 2 16 65536 2097152 65536 65536 136058 1.000000 0.031250 0.064878 129.609375 5.691882e-02 2.373103e-09
