h k l n m i d u x y z e t r
k 2 16 65536 2 1 1 0 0.000015 0.500000 0.000000 16.031250 1.797200e-07 2.472622e-13
k 2 16 65536 4 1 1 0 0.000015 0.250000 0.000000 16.031250 2.315600e-07 3.185750e-13
k 2 16 65536 8 1 1 0 0.000015 0.125000 0.000000 16.031250 1.599200e-07 2.200009e-13
k 2 16 65536 16 1 1 0 0.000015 0.062500 0.000000 16.031250 2.144000e-07 2.949126e-13
k 2 16 65536 32 1 1 0 0.000015 0.031250 0.000000 16.031250 2.154200e-07 2.962434e-13
k 2 16 65536 64 1 1 0 0.000015 0.015625 0.000000 16.035156 1.518000e-07 2.086520e-13
k 2 16 65536 128 1 1 0 0.000015 0.007812 0.000000 16.039062 2.376600e-07 3.263498e-13
k 2 16 65536 256 1 1 0 0.000015 0.003906 0.000000 16.046875 1.720200e-07 2.357547e-13
k 2 16 65536 512 1 1 0 0.000015 0.001953 0.000000 16.062500 2.067800e-07 2.822951e-13
k 2 16 65536 1024 1 1 0 0.000015 0.000977 0.000000 16.093750 2.049000e-07 2.775768e-13
k 2 16 65536 2048 1 1 0 0.000015 0.000488 0.000000 16.152344 1.601800e-07 2.137071e-13
k 2 16 65536 4096 1 1 0 0.000015 0.000244 0.000000 16.277344 1.318600e-07 1.707492e-13
k 2 16 65536 8192 1 1 0 0.000015 0.000122 0.000000 16.523438 1.760400e-07 2.152948e-13
k 2 16 65536 16384 1 1 0 0.000015 0.000061 0.000000 17.003906 1.629600e-07 1.793683e-13
k 2 16 65536 32768 2 2 0 0.000031 0.000061 0.000000 17.937500 2.658600e-07 2.438576e-13
k 2 16 65536 65536 86 86 0 0.001312 0.001312 0.000000 19.730469 1.229730e-05 8.459689e-12
k 2 16 65536 131072 43832 43832 2924 0.668823 0.334412 0.022308 23.214844 1.277249e-02 5.857725e-09
k 2 16 65536 262144 61655 61655 19981 0.940781 0.235195 0.076221 30.097656 2.532055e-02 6.967512e-09
k 2 16 65536 524288 65516 65516 52725 0.999695 0.124962 0.100565 44.320312 3.677553e-02 5.622002e-09
k 2 16 65536 1048576 65536 65536 92973 1.000000 0.062500 0.088666 73.222656 4.295495e-02 3.476473e-09
k 2 16 65536 2097152 65536 65536 136058 1.000000 0.031250 0.064878 129.609375 5.691882e-02 2.373103e-09
k 2 13 8192 4194304 8192 8192 39457 1.000000 0.001953 0.009407 237.559608 3.245263e-02 8.569860e-10
k 2 14 16384 4194304 16384 16384 67635 1.000000 0.003906 0.016125 238.184921 4.230933e-02 1.035451e-09
k 2 15 32768 4194304 32768 32768 112591 1.000000 0.007812 0.026844 239.656250 5.572040e-02 1.267821e-09
k 2 16 65536 4194304 65536 65536 180300 1.000000 0.015625 0.042987 242.253906 8.019299e-02 1.697453e-09
k 2 17 131072 4194304 131072 131072 271855 1.000000 0.031250 0.064815 246.234375 1.236016e-01 2.425079e-09
k 2 18 262144 4194304 262143 262143 371374 0.999996 0.062500 0.088542 253.765625 2.160452e-01 3.885597e-09
k 2 19 524288 4194304 524094 524094 421314 0.999630 0.124954 0.100449 263.347656 4.193672e-01 6.748433e-09
k 2 20 1048576 4194304 1027920 1027920 332722 0.980301 0.245075 0.079327 286.273438 7.509000e-01 1.033134e-08
k 2 20 1258291 4194304 1182637 1182637 276682 0.939876 0.281963 0.065966 322.437500 7.603551e-01 9.928492e-09
k 2 20 1468006 4194304 1119401 1119401 190447 0.762532 0.266886 0.045406 326.640625 7.564425e-01 9.408314e-09
k 2 20 1677721 4194304 1467444 1467444 183599 0.874665 0.349866 0.043773 330.828125 9.475118e-01 1.125800e-08
k 2 20 1887436 4194304 1473237 1473237 134962 0.780549 0.351247 0.032177 334.988281 8.983661e-01 1.022200e-08
k 2 21 2097152 4194304 1337049 1337049 89598 0.637555 0.318777 0.021362 339.124922 7.745665e-01 8.457904e-09
k 2 21 2516582 4194304 1122204 1122204 38538 0.445924 0.267554 0.009188 411.312422 5.987157e-01 6.053271e-09
k 2 21 2936012 4194304 814073 814073 12917 0.277272 0.194090 0.003080 419.343672 3.883355e-01 3.657033e-09
k 2 21 3355443 4194304 495764 495764 2925 0.147749 0.118199 0.000697 427.230391 2.146123e-01 1.891804e-09
