0,k,2,0,0,0,0.000000e+00,0.000000e+00
1,k,2,13119488,0,0,5.890000e-07,-nan,inf
2,k,2,13119488,0,3,4.810000e-07,0.000000e+00,1.603333e-07
3,k,2,13119488,4,14,9.780000e-07,2.857143e-01,6.985714e-08
4,k,2,13119488,20,45,1.247000e-06,4.444444e-01,2.771111e-08
5,k,2,13119488,68,124,2.187000e-06,5.483871e-01,1.763710e-08
6,k,2,13119488,196,315,4.534000e-06,6.222222e-01,1.439365e-08
7,k,2,13119488,516,762,1.003000e-05,6.771654e-01,1.316273e-08
8,k,2,13119488,1284,1785,2.382500e-05,7.193277e-01,1.334734e-08
9,k,2,13119488,3076,4088,5.748700e-05,7.524462e-01,1.406238e-08
10,k,2,13119488,7172,9207,1.424790e-04,7.789725e-01,1.547507e-08
11,k,2,13119488,16388,20470,3.287900e-04,8.005862e-01,1.606204e-08
12,k,2,13119488,36868,45045,7.165400e-04,8.184704e-01,1.590720e-08
13,k,2,13119488,81924,98292,1.385525e-03,8.334758e-01,1.409601e-08
14,k,2,13316096,180228,212979,1.777127e-03,8.462243e-01,8.344142e-09
15,k,2,13524992,393220,458738,3.424676e-03,8.571777e-01,7.465429e-09
16,k,2,13918208,851972,983025,7.381395e-03,8.666840e-01,7.508858e-09
17,k,2,14970880,1835012,2097136,2.626894e-02,8.750086e-01,1.252610e-08
18,k,2,16543744,3932164,4456431,5.676219e-02,8.823572e-01,1.273714e-08
19,k,2,19689472,8388612,9437166,1.218417e-01,8.888910e-01,1.291083e-08
20,k,2,25980928,17825796,19922925,2.599722e-01,8.947379e-01,1.304890e-08
21,k,2,38563840,37748740,41943020,5.537151e-01,9.000005e-01,1.320160e-08
22,k,2,63729664,79691780,88080363,1.166591e+00,9.047622e-01,1.324462e-08
23,k,2,114061312,167772164,184549354,2.503883e+00,9.090910e-01,1.356755e-08
24,k,2,214724608,352321540,385875945,5.280942e+00,9.130435e-01,1.368560e-08
25,k,2,416051200,738197508,805306344,1.116762e+01,9.166667e-01,1.386754e-08
26,k,2,818704384,1543503876,1677721575,2.368853e+01,9.200000e-01,1.411946e-08
