2 2 1.85e-08 5.14e-08
8 24 4.39e-09 2.92e-07
16 62 4.63e-09 1.00e-06
32 150 4.25e-09 2.68e-06
64 331 3.92e-09 6.44e-06
128 749 4.66e-09 1.98e-05
256 1679 4.21e-09 4.52e-05
512 3709 2.92e-09 7.69e-05
1024 8128 3.32e-09 2.11e-04
2048 17670 3.41e-09 5.13e-04
4096 38174 2.33e-09 8.19e-04
8192 82021 2.55e-09 2.07e-03
16384 175398 2.88e-09 5.36e-03
32768 373480 2.60e-09 1.10e-02
65536 792368 2.59e-09 2.47e-02
131072 1675587 2.81e-09 5.98e-02
262144 3532864 3.25e-09 1.54e-01
524288 7429088 3.78e-09 3.96e-01
1048576 15584965 3.79e-09 8.74e-01
