k i n m i d u ip dp up mem t tp
2 1 2 2 2 2 0 1.000000 1.000000 0.000000 12.992188 2.432200e-07 8.772307e-08
2 2 4 6 3 3 0 0.750000 0.750000 0.000000 12.992188 2.996400e-07 2.161446e-08
2 3 8 15 5 5 0 0.625000 0.625000 0.000000 12.992188 5.415800e-07 1.132369e-08
2 4 16 35 14 14 1 0.875000 0.875000 0.028571 12.992188 1.735820e-06 1.227578e-08
2 5 32 80 29 29 6 0.906250 0.906250 0.075000 12.992188 4.823140e-06 1.242557e-08
2 6 64 179 60 60 8 0.937500 0.937500 0.044693 12.992188 1.041126e-05 1.030197e-08
2 7 128 397 122 122 24 0.953125 0.953125 0.060453 12.992188 2.619990e-05 1.028530e-08
2 8 256 872 247 247 62 0.964844 0.964844 0.071101 12.992188 3.290604e-05 5.260791e-09
2 9 512 1899 492 492 121 0.960938 0.960938 0.063718 13.117188 1.091217e-04 7.255144e-09
2 10 1024 4106 999 999 329 0.975586 0.975586 0.080127 13.250000 2.115500e-04 5.949360e-09
2 11 2048 8829 2028 2028 774 0.990234 0.990234 0.087666 13.511719 3.558073e-04 4.290299e-09
2 12 4096 18892 4058 4058 1636 0.990723 0.990723 0.086598 14.156250 7.635267e-04 3.993156e-09
2 13 8192 40250 8131 8131 3604 0.992554 0.992554 0.089540 15.394453 1.672999e-03 3.832701e-09
2 14 16384 85433 16286 16286 8004 0.994019 0.994019 0.093687 18.304688 4.444642e-03 4.498451e-09
2 15 32768 180730 32627 32627 17036 0.995697 0.995697 0.094262 24.507812 9.733619e-03 4.384942e-09
2 16 65536 381188 65325 65325 36680 0.996780 0.996780 0.096225 36.457031 2.380518e-02 4.804927e-09
2 17 131072 801834 127703 127703 36941 0.974297 0.974297 0.046071 61.679688 4.418116e-02 4.019063e-09
2 18 262144 1682581 261715 261715 165138 0.998363 0.998363 0.098146 117.011719 1.201442e-01 4.951613e-09
2 19 524288 3522989 523646 523646 347394 0.998775 0.998775 0.098608 232.316406 2.836800e-01 5.322145e-09
2 20 1048576 7361632 1047635 1047635 732973 0.999103 0.999103 0.099567 441.183594 6.790306e-01 5.824078e-09
2 21 2097152 15354570 2095815 2095815 1534374 0.999362 0.999362 0.099929 879.078047 1.633685e+00 6.431099e-09
2 22 4194304 31971752 4192345 4192345 3207994 0.999533 0.999533 0.100338 2017.632734 3.893524e+00 7.059818e-09
