0,k,4,0,0,0,0.000000e+00,0.000000e+00
1,k,4,13131776,0,0,7.260000e-07,-nan,inf
2,k,4,13131776,0,15,5.190000e-07,0.000000e+00,3.460000e-08
3,k,4,13131776,2,126,9.980000e-07,1.587302e-02,7.920635e-09
4,k,4,13131776,10,765,1.314000e-06,1.307190e-02,1.717647e-09
5,k,4,13131776,36,4092,2.439000e-06,8.797654e-03,5.960411e-10
6,k,4,13131776,100,20475,5.032000e-06,4.884005e-03,2.457631e-10
7,k,4,13131776,270,98298,1.086000e-05,2.746750e-03,1.104804e-10
8,k,4,13131776,654,458745,2.450400e-05,1.425629e-03,5.341530e-11
9,k,4,13131776,1592,2097144,5.473100e-05,7.591277e-04,2.609787e-11
10,k,4,13131776,3640,9437175,1.298150e-04,3.857086e-04,1.375571e-11
11,k,4,13131776,8418,41943030,2.948690e-04,2.007008e-04,7.030226e-12
12,k,4,13131776,18658,184549365,6.294770e-04,1.011003e-04,3.410887e-12
13,k,4,13131776,41868,805306356,1.413393e-03,5.199015e-05,1.755100e-12
14,k,4,13328384,91020,3489660915,1.537221e-03,2.608276e-05,4.405073e-13
15,k,4,13537280,200246,2147483634,3.218804e-03,9.324681e-05,1.498872e-12
16,k,4,13930496,429622,4294967281,6.850799e-03,1.000292e-04,1.595076e-12
17,k,4,14983168,932064,4294967280,1.920342e-02,2.170131e-04,4.471145e-12
18,k,4,16556032,1980640,4294967279,4.069217e-02,4.611537e-04,9.474383e-12
19,k,4,19701760,4252554,4294967278,8.691761e-02,9.901249e-04,2.023708e-11
20,k,4,25993216,8971146,4294967277,1.829098e-01,2.088758e-03,4.258700e-11
21,k,4,38576128,19107380,4294967276,3.883050e-01,4.448784e-03,9.040929e-11
22,k,4,63741952,40078900,4294967275,8.137688e-01,9.331596e-03,1.894703e-10
23,k,4,114073600,84818142,4294967274,1.718990e+00,1.974826e-02,4.002336e-10
24,k,4,214736896,177092830,4294967273,3.607835e+00,4.123264e-02,8.400146e-10
25,k,4,416063488,372827016,4294967272,7.605442e+00,8.680555e-02,1.770780e-09
26,k,4,818716672,775480200,4294967264,1.589628e+01,1.805556e-01,3.701140e-09
