0,k,2,0,0,0,0.000000e+00,0.000000e+00
1,k,2,13131776,0,0,4.140000e-07,-nan,inf
2,k,2,13131776,0,3,3.710000e-07,0.000000e+00,1.236667e-07
3,k,2,13131776,4,14,6.390000e-07,2.857143e-01,4.564286e-08
4,k,2,13131776,25,45,8.650000e-07,5.555556e-01,1.922222e-08
5,k,2,13131776,79,124,1.505000e-06,6.370968e-01,1.213710e-08
6,k,2,13131776,217,315,3.202000e-06,6.888889e-01,1.016508e-08
7,k,2,13131776,553,762,7.119000e-06,7.257218e-01,9.342520e-09
8,k,2,13131776,1369,1785,1.658700e-05,7.669468e-01,9.292437e-09
9,k,2,13131776,3256,4088,3.816400e-05,7.964775e-01,9.335616e-09
10,k,2,13131776,7545,9207,9.793300e-05,8.194852e-01,1.063680e-08
11,k,2,13131776,17079,20470,2.172260e-04,8.343429e-01,1.061192e-08
12,k,2,13131776,38289,45045,4.801140e-04,8.500167e-01,1.065854e-08
13,k,2,13131776,84891,98292,1.090847e-03,8.636613e-01,1.109802e-08
14,k,2,13328384,186227,212979,2.407663e-03,8.743914e-01,1.130470e-08
15,k,2,13537280,405165,458738,5.050350e-03,8.832166e-01,1.100923e-08
16,k,2,13930496,875810,983025,1.117507e-02,8.909336e-01,1.136804e-08
17,k,2,14983168,1882758,2097136,3.560295e-02,8.977758e-01,1.697694e-08
18,k,2,16556032,4027611,4456431,8.258852e-02,9.037750e-01,1.853244e-08
19,k,2,19701760,8580096,9437166,2.036486e-01,9.091814e-01,2.157942e-08
20,k,2,25993216,18209089,19922925,4.790799e-01,9.139767e-01,2.404666e-08
21,k,2,38576128,38515477,41943020,1.184917e+00,9.182810e-01,2.825064e-08
22,k,2,63741952,81223295,88080363,2.846443e+00,9.221499e-01,3.231643e-08
23,k,2,114073600,170837643,184549354,7.229138e+00,9.257017e-01,3.917184e-08
24,k,2,214736896,358455077,385875945,1.753782e+01,9.289386e-01,4.544937e-08
25,k,2,416063488,750468672,805306344,4.303878e+01,9.319046e-01,5.344398e-08
26,k,2,818716672,1568026294,1677721575,1.006433e+02,9.346165e-01,5.998810e-08
