
1 & 130 & 4224 & 14.29 & 64 & 2.11e-03 & 64 & 64 & 2.06e-03 & 64\\
2 & 258 & 8448 & 15.52 & 128 & 5.16e-03 & 128 & 128 & 5.15e-03 & 128\\
3 & 258 & 16640 & 18.21 & 128 & 1.16e-02 & 128 & 128 & 1.16e-02 & 128\\
4 & 514 & 33280 & 22.80 & 256 & 5.62e-02 & 256 & 256 & 5.62e-02 & 256\\
5 & 514 & 66048 & 33.45 & 256 & 1.24e-01 & 256 & 256 & 1.20e-01 & 256\\
6 & 1026 & 132096 & 51.74 & 512 & 4.59e-01 & 512 & 512 & 4.60e-01 & 512\\
7 & 1026 & 263168 & 94.38 & 512 & 1.00e+00 & 512 & 512 & 1.00e+00 & 512\\
8 & 2050 & 526336 & 166.97 & 1024 & 6.65e+00 & 1024 & 1024 & 6.69e+00 & 1024\\
9 & 2050 & 1050624 & 338.14 & 1024 & 1.31e+01 & 1024 & 1024 & 1.32e+01 & 1024\\
10 & 4098 & 2101248 & 627.51 & 2048 & 2.48e+01 & 2048 & 2048 & 2.50e+01 & 2048\\
11 & 4098 & 4198400 & 1310.38 & 2048 & 7.12e+01 & 2048 & 2048 & 7.28e+01 & 2048\\
\textbf{Media} & 1456.00 & 763682.00 & 244.85 & 727.27 & 1.07e+01 & 727.27 & 727.27 & 1.09e+01 & 727.27\\
